MolID;Energy;Name
5626;-13.5;trypan blue
4147;-12.2;nilotinib
4929;-11.9;radotinib
5279;-11.6;talniflumate
5269;-11.6;tadalafil
2185;-11.4;digitoxin
2410;-11.3;enasidenib
5304;-11.1;tartrazine
3417;-11.1;lomitapide
5754;-11.0;zafirlukast
5555;-11.0;triamcinolone benetonide
2937;-10.9;guamecycline
2860;-10.9;gitoxin
882;-10.9;acetyldigoxin
13;-10.9;(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-(tert-butylcarbamoyl)-7-hydroxy-decahydroisoqu
5542;-10.8;traxanox
3312;-10.8;ledipasvir
2792;-10.8;fosaprepitant
1097;-10.8;anazolene
2916;-10.7;glycyrrhizic acid
2863;-10.7;Glasdegib M10
2612;-10.7;evans blue
2195;-10.7;Dihydrodigoxin
2187;-10.7;digoxin
881;-10.7;acetyldigitoxin
372;-10.7;3-hydroxycyclopentyl N-[3-({2-methoxy-4-[(2-methylbenzenesulfonyl)carbamoyl]phen
5235;-10.6;sulfobromophthalein
2416;-10.6;ENB753
1320;-10.6;beta-Ergocryptine
5759;-10.5;Zafirlukast metabolite M5
5694;-10.5;venetoclax
3776;-10.5;metildigoxin
2198;-10.5;dihydroergocristine
5691;-10.4;velpatasvir
4096;-10.4;netarsudil
3962;-10.4;nadide
3263;-10.4;Ketotifen-N-glucuronide
3211;-10.4;irinotecan
3147;-10.4;indocyanine green
2443;-10.4;epicriptine
2382;-10.4;elbasvir
2275;-10.4;diquafosol
4315;-10.3;olaparib
4299;-10.3;O-Desmethylnaproxen acyl glucuronide
3530;-10.3;M5 (Blonanserin)
3465;-10.3;lurasidone
3393;-10.3;Linagliptin M515(1)
3390;-10.3;Linagliptin M503(1)
2859;-10.3;gitoformate
2543;-10.3;ethyl biscoumacetate
1673;-10.3;CGP 52421
331;-10.3;3,5 benzene diol metabolite of R406
5098;-10.2;secondary metabolite of vemurafenib alternative
4962;-10.2;Remdesivir Alanine Metabolite (Ala-Met)
4932;-10.2;Raloxifene-6, 4???-diglucuronide
4931;-10.2;Raloxifene-4???-glucuronide
4552;-10.2;peruvoside
4447;-10.2;paliperidone
3842;-10.2;mizolastine
3454;-10.2;lumacaftor
3387;-10.2;Linagliptin M487(1)
3385;-10.2;Linagliptin CD1790
3384;-10.2;Linagliptin CD10604
3103;-10.2;idarubicin
3101;-10.2;ID14326
2761;-10.2;fluspirilene
2390;-10.2;eltrombopag
2353;-10.2;dutasteride
984;-10.2;alpha-Ergocryptine
804;-10.2;8'-hydroxy-dihydroergocristine
5143;-10.1;sonidegib
4767;-10.1;prednisolone sulfobenzoate
4736;-10.1;ponatinib
4274;-10.1;O-Deethylated candesartan
3809;-10.1;midostaurin
3479;-10.1;M1 (hydroxymethyl-ivacaftor)
3238;-10.1;isoxepac
2849;-10.1;gemigliptin
2623;-10.1;falecalcitriol
2598;-10.1;Etoposide glucuronide
2466;-10.1;ergotamine
2447;-10.1;epinastine
2259;-10.1;diphenadione
2200;-10.1;dihydroergotamine
2197;-10.1;dihydroergocornine
2192;-10.1;Dihydroartemisinin Glucuronide
1674;-10.1;CGP 62221
1585;-10.1;casopitant
1322;-10.1;Beta-Hydroxyalprazolam
1300;-10.1;benzquercin
1111;-10.1;apalcillin
5012;-10.0;risperidone
4933;-10.0;Raloxifene-6-glucuronide
4733;-10.0;polydatin
4666;-10.0;pimozide
4442;-10.0;Palbociclib M5
4422;-10.0;oxyphenisatine acetate
4101;-10.0;netupitant
4097;-10.0;Netarsudil-M1
3922;-10.0;N-(2-methyl-3-chloro-5-hydroxyphenyl)-anthranilic acid form 2
3470;-10.0;lymecycline
3383;-10.0;linagliptin
3276;-10.0;Labetalol Phenolic Glucuronide Metabolite (III)
2489;-10.0;estradiol benzoate
2199;-10.0;dihydroergocryptine
2186;-10.0;Digoxigenin  bisdigitoxoside
2136;-10.0;diathymosulfone
1997;-10.0;deferasirox
1656;-10.0;ceritinib
1619;-10.0;cefoperazone
1484;-10.0;butinoline
1355;-10.0;BIBF 1202 glucuronide
976;-10.0;alpha,4-dihydroxy-alprazolam
674;-10.0;6-??-hydromorphol glucuronide conjugate 1
536;-10.0;4-hydroxytriazolam
276;-10.0;2-hydroxynevirapine glucuronide
94;-10.0;10-O-glucuronyl-SN-38
5486;-9.9;Tizoxanide glucuronide
5475;-9.9;tipranavir
5085;-9.9;scarlet red
4986;-9.9;revaprazan
4727;-9.9;pleconaril
4510;-9.9;pentagastrin
3483;-9.9;M1 Metabolite, Tezacaftor
3429;-9.9;loratadine
3042;-9.9;Hydroxy Ritonavir
2692;-9.9;florantyrone
2529;-9.9;ether glucuronide dolutegravir (M2)
2413;-9.9;ENB577b
2411;-9.9;ENB477
1977;-9.9;daunorubicin
1939;-9.9;cymarin
1580;-9.9;carubicin
1236;-9.9;bagrosin
1091;-9.9;AMX
1048;-9.9;aminoquinuride
357;-9.9;3-cis-Hydroxycyclohexyl glyburide
227;-9.9;25-Hydroxyvitamin D2-25-glucuronide
5783;-9.8;zorubicin
5757;-9.8;Zafirlukast metabolite M3
5670;-9.8;Valdecoxib metabolite M8
5544;-9.8;trenbolone hexahydrobenzylcarbonate
5126;-9.8;sivelestat
4970;-9.8;repirinast
4488;-9.8;PCI-7503 (M23)
4487;-9.8;PCI-48303 (M26)
4440;-9.8;Palbociclib M3
4433;-9.8;palbociclib
4169;-9.8;nitrazepam
